country,air_quality_Carbon_Monoxide,air_quality_Nitrogen_dioxide,air_quality_Ozone,air_quality_PM10,air_quality_PM2.5,air_quality_Sulphur_dioxide,air_quality_gb-defra-index,air_quality_us-epa-index
South Korea,687.7502702702703,73.19210810810812,39.7027027,58.194945945945946,53.94616216216217,42.063540540540544,5.724324324324324,2.789189189189189
Spain,283.5262162162162,44.57481081081081,35.86486486486486,26.196567567567566,17.362972972972972,6.437459459459459,1.9243243243243244,1.5621621621621622
Sri Lanka,472.5751351351351,22.018594594594596,45.87027027027027,31.217513513513513,20.91502702702703,13.65508108108108,2.2864864864864867,1.8162162162162163
Sudan,369.94891891891893,4.066337837837838,63.21621621621622,124.85189189189188,34.593405405405406,1.8359459459459457,3.764864864864865,2.2324324324324323
Suriname,243.71297297297298,2.502972972972973,38.832432432432434,10.854486486486486,7.670297297297298,1.6654594594594596,1.145945945945946,1.0324324324324323
Swaziland,329.21405405405403,12.978567567567566,53.027027027027025,27.393594594594592,26.653837837837838,19.457702702702704,3.0216216216216214,1.9189189189189189
Sweden,290.3572972972973,15.266351351351352,57.24324324324324,12.827351351351352,7.6871081081081085,0.8610270270270269,1.135135135135135,1.0648648648648649
Switzerland,263.32391387559807,12.44000956937799,53.76555023923445,18.610803827751194,13.027607655502392,0.6008325358851675,1.6076555023923444,1.3301435406698565
Syria,223.77228260869563,17.896603260869565,69.56521739130434,46.582744565217396,27.541793478260868,74.58334239130434,2.8967391304347827,2
Tajikistan,437.49243243243245,17.80583783783784,70.29729729729729,51.10391891891892,24.481945945945945,9.562567567567568,2.6324324324324326,1.864864864864865
Tanzania,202.46189189189187,2.1725135135135134,57.23243243243243,12.114621621621621,11.142432432432432,0.6754324324324325,1.4108108108108108,1.2540540540540541
Thailand,955.1943243243244,19.354175675675677,51.3,20.572432432432432,18.911878378378375,11.491445945945946,2.127027027027027,1.5837837837837838
Trinidad and Tobago,260.567227,3.5783945945945947,43.17297297297297,23.391983783783783,11.249816216216216,1.0347729729729729,1.4054054054054055,1.2216216216216216
Tunisia,303.7415760869565,10.912119565217392,69.33152173913044,37.655,18.36404891304348,11.258097826086955,2.0597826086956523,1.5326086956521738
Turkey,269.4206756756757,17.36741891891892,61.34324324324324,30.193229729729733,21.107486486486486,9.823797297297297,2.289189189189189,1.7432432432432432
Turkmenistan,433.0845945945946,23.607027027027026,53.43783783783784,56.21559459,20.675135135135136,8.136540541,2.291891891891892,1.7135135135135136
Uganda,588.0194594594595,6.575378378378378,54.42702702702703,49.567972972972974,47.172270270270275,2.4452162162162163,5.454054054054054,2.6972972972972973
Ukraine,314.34027027027025,20.404297297297298,52.167567567567566,17.927567567567568,13.983351351351352,4.367945945945946,1.6162162162162161,1.3513513513513513
United Arab Emirates,457.3194594594595,38.879783783783786,79.16756756756757,179.38172972972976,81.07313513513513,23.24491891891892,8.518918918918919,3.610810810810811
United Kingdom,293.9756756756757,31.971405405405406,49.729729729729726,20.98443243243243,14.09489189189189,3.2695675675675675,1.7027027027027026,1.2972972972972974
United States of America,242.72635869565218,6.867146739130435,55.244565217391305,11.49866847826087,9.617391304347825,1.3880434782608695,1.3043478260869565,1.1141304347826086
Uruguay,671.0451351351352,11.75762162162162,42.94054054054054,16.893621621621623,14.727108108108107,5.699918918918918,1.7351351351351352,1.3783783783783783
Uzbekistan,422.0567567567568,22.534783783783787,66.9027027,36.30664864864865,23.995324324324326,8.082054054054055,2.562162162162162,1.9405405405405405
Vanuatu,135.21054054054053,0.3196216216216216,60.87567567567567,17.625945945945947,11.347162162162162,3.739864864864865,1.4864864864864864,1.1081081081081081
Venezuela,1016.0632432432433,17.110405405405405,55.3027027,25.994324324324324,20.506891891891893,5.0721891891891895,2.2378378378378376,1.7351351351351352
Vietnam,800.6701342,29.523859060402685,70.27852348993288,55.47686241610738,53.195100671140935,28.572130872483225,5.520134228,2.674496644295302
Yemen,246.39621621621623,2.081054054054054,92.45945945945945,130.36086486486485,31.650054054054056,3.723,3.4,2.1135135135135137
Zambia,347.6348648648648,1.6288108108108108,78.08108108108108,15.046027027027026,14.312864864864865,2.4089189189189186,1.6972972972972973,1.3297297297297297
Zimbabwe,573.0108108108108,6.135351351351352,73.45405405405405,32.43691891891892,31.38827027027027,2.6047027027027028,3.5243243243243243,2.075675675675676
